2019-06-29T17:56:03	T0209b	SUPER_HIGH_FREQUENCY	-	-	2019-06-29T17:56:23	2019-06-29T17:57:13	D	QuakeML
2019-06-30T17:30:35	T0210a	SUPER_HIGH_FREQUENCY	-	-	2019-06-30T17:30:55	2019-06-30T17:31:45	C	QuakeML
2019-06-30T18:38:06	T0210b	SUPER_HIGH_FREQUENCY	-	-	2019-06-30T18:38:26	2019-06-30T18:39:16	D	QuakeML
2019-07-01T17:06:04	T0211a	SUPER_HIGH_FREQUENCY	-	-	2019-07-01T17:06:24	2019-07-01T17:07:14	C	QuakeML
2019-07-01T18:47:12	T0211b	SUPER_HIGH_FREQUENCY	-	-	2019-07-01T18:47:32	2019-07-01T18:48:22	C	QuakeML
2019-07-01T19:18:22	T0211c	SUPER_HIGH_FREQUENCY	-	-	2019-07-01T19:18:42	2019-07-01T19:19:32	D	QuakeML
2019-07-01T19:45:37	S0211b	2.4_HZ	-	-	2019-07-01T19:49:21	2019-07-01T19:59:15	D	QuakeML
2019-07-01T21:39:19	S0211a	2.4_HZ	-	-	2019-07-01T21:39:33	2019-07-01T21:50:34	D	QuakeML
2019-07-02T03:46:07	S0212a	2.4_HZ	-	-	2019-07-02T03:46:09	2019-07-02T04:00:10	C	QuakeML
2019-07-02T06:29:26	S0212b	2.4_HZ	-	-	2019-07-02T06:29:31	2019-07-02T06:40:20	D	QuakeML
2019-07-02T07:32:56	S0212c	2.4_HZ	-	-	2019-07-02T07:33:49	2019-07-02T07:48:57	C	QuakeML
2019-07-02T19:12:43	T0212a	SUPER_HIGH_FREQUENCY	-	-	2019-07-02T19:13:03	2019-07-02T19:13:53	C	QuakeML
2019-07-02T20:01:36	T0212b	SUPER_HIGH_FREQUENCY	-	-	2019-07-02T20:01:56	2019-07-02T20:02:46	D	QuakeML
2019-07-03T06:43:59	S0213a	HIGH_FREQUENCY	-	-	2019-07-03T06:44:22	2019-07-03T07:01:33	C	QuakeML
2019-07-03T19:42:53	T0213a	SUPER_HIGH_FREQUENCY	-	-	2019-07-03T19:43:13	2019-07-03T19:44:03	C	QuakeML
2019-07-03T20:36:02	T0213b	SUPER_HIGH_FREQUENCY	-	-	2019-07-03T20:36:22	2019-07-03T20:37:12	D	QuakeML
2019-07-04T20:37:27	T0214a	SUPER_HIGH_FREQUENCY	-	-	2019-07-04T20:37:47	2019-07-04T20:38:37	C	QuakeML
2019-07-04T21:11:52	T0214b	SUPER_HIGH_FREQUENCY	-	-	2019-07-04T21:12:12	2019-07-04T21:13:02	D	QuakeML
2019-07-05T21:10:40	T0215a	SUPER_HIGH_FREQUENCY	-	-	2019-07-05T21:11:00	2019-07-05T21:11:50	C	QuakeML
2019-07-05T21:51:16	T0215b	SUPER_HIGH_FREQUENCY	-	-	2019-07-05T21:51:36	2019-07-05T21:52:26	D	QuakeML
2019-07-05T23:10:18	S0215a	2.4_HZ	-	-	2019-07-05T23:12:38	2019-07-05T23:26:26	C	QuakeML
2019-07-05T23:39:52	S0215b	2.4_HZ	-	-	2019-07-05T23:48:11	2019-07-05T23:55:39	D	QuakeML
2019-07-06T09:55:17	S0216b	2.4_HZ	-	-	2019-07-06T10:01:07	2019-07-06T10:15:40	B	QuakeML
2019-07-06T21:38:56	T0216a	SUPER_HIGH_FREQUENCY	-	-	2019-07-06T21:39:16	2019-07-06T21:40:06	C	QuakeML
2019-07-06T22:30:35	T0216b	SUPER_HIGH_FREQUENCY	-	-	2019-07-06T22:30:55	2019-07-06T22:31:45	D	QuakeML
2019-07-06T23:51:24	S0216a	2.4_HZ	-	-	2019-07-06T23:51:10	2019-07-07T00:04:41	B	QuakeML
2019-07-07T00:35:28	S0216c	2.4_HZ	-	-	2019-07-07T00:39:39	2019-07-07T00:50:33	D	QuakeML
2019-07-07T22:23:08	T0217a	SUPER_HIGH_FREQUENCY	-	-	2019-07-07T22:23:28	2019-07-07T22:24:18	C	QuakeML
2019-07-07T23:07:29	T0217b	SUPER_HIGH_FREQUENCY	-	-	2019-07-07T23:07:49	2019-07-07T23:08:39	D	QuakeML
2019-07-08T00:25:07	S0217a	BROADBAND	-	-	2019-07-08T00:25:58	2019-07-08T00:44:31	C	QuakeML
2019-07-08T23:33:44	T0218a	SUPER_HIGH_FREQUENCY	-	-	2019-07-08T23:34:04	2019-07-08T23:34:54	C	QuakeML
